2026-03-28 18:04:59,948 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 18:05:00,395 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 18:05:00,395 | INFO | app | Loading existing vector store from data\gold\KPN-integrated-annual-report-2024_2025
2026-03-28 18:05:00,412 | INFO | src.utils.web_scraper | Loading URLs from c:\Akash\Career\tests\kpn\data\bronze\urls.txt
2026-03-28 18:05:00,412 | INFO | src.utils.web_scraper | Loaded 5 URLs
2026-03-28 18:05:00,412 | INFO | src.utils.web_scraper | [0] Processing URL: https://www.overons.kpn/nieuws/en/kpn-cla-2026-2027-new-arrangement-for-reservists/
2026-03-28 18:05:00,985 | INFO | src.utils.web_scraper | [1] Processing URL: https://www.overons.kpn/nieuws/en/kpn-best-mobile-network-in-the-netherlands-for-the-fifth-time-with-the-highest-score-worldwide/
2026-03-28 18:05:01,449 | INFO | src.utils.web_scraper | [2] Processing URL: https://www.overons.kpn/nieuws/en/kpn-launches-queryable-infrastructure-kpn-campus/
2026-03-28 18:05:02,033 | INFO | src.utils.web_scraper | [3] Processing URL: https://www.overons.kpn/nieuws/en/kpn-recognized-as-provider-with-the-best-digital-customer-experience/
2026-03-28 18:05:02,574 | INFO | src.utils.web_scraper | [4] Processing URL: https://www.overons.kpn/nieuws/en/king-and-minister-of-economic-affairs-on-a-working-visit-to-kpn-a-look-behind-the-scenes-of-digital-resilience/
2026-03-28 18:05:03,216 | INFO | src.utils.web_scraper | Successfully created 5 documents
2026-03-28 18:05:03,217 | INFO | src.models.llm | Initializing AzureOpenAI client.
